"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
"25"|"Two Weeks Notice"|"A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTk2MTYzNTk5Nl5BMl5BanBnXkFtZTYwMTUyMzE3._V1_SX300.jpg"|"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey"|"USA, Australia"|"English"|"101 min"|2002
"26"|"Austin Powers: International Man of Mystery"|"A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place."|"Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BOTY3NTI0MDM2MV5BMl5BanBnXkFtZTgwOTc0NzQxMTE@._V1_SX300.jpg"|"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers"|"USA, Germany"|"English"|"89 min"|1997
"27"|"Chicago"|"Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago."|"Comedy, Crime, Musical"|"http://ia.media-imdb.com/images/M/MV5BMTIyMTg1MzMzNl5BMl5BanBnXkFtZTYwMDU0NTk5._V1_SX300.jpg"|"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger"|"USA, Germany, Canada"|"English, Hungarian"|"113 min"|2002
"28"|"Terms of Endearment"|"Follows hard-to-please Aurora looking for love and her daughter's family problems."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX300.jpg"|"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito"|"USA"|"English"|"132 min"|1983
"29"|"The General's Daughter"|"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point."|"Drama, Mystery, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTg1NTkyMzgxOV5BMl5BanBnXkFtZTYwMDc5NjI5._V1_SX300.jpg"|"John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton"|"USA, Germany"|"English"|"116 min"|1999
"30"|"A Fish Called Wanda"|"In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot."|"Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMjE5OTIzODI4Nl5BMl5BanBnXkFtZTcwNDg3NzYzNA@@._V1_SX300.jpg"|"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin"|"USA, UK"|"English, Italian, Russian, French"|"108 min"|1988
"31"|"Life Is Beautiful"|"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTQwMTM2MjE4Ml5BMl5BanBnXkFtZTgwODQ2NTYxMTE@._V1_SX300.jpg"|"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"|"Italy"|"German, English, Italian"|"116 min"|1997
"32"|"Air Force One"|"Hijackers seize the plane carrying the President of the United States and his family, but he - an ex-soldier - works from hiding to defeat them."|"Action, Adventure, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTg4NDM4NzA2N15BMl5BanBnXkFtZTcwOTA2NDU2MQ@@._V1_SX300.jpg"|"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"|"USA, Germany"|"English, Russian"|"124 min"|1997
"33"|"The Game"|"During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians."|"Biography, Drama, Thriller"|"http://ia.media-imdb.com/images/M/MV5BNDkwNTEyMzkzNl5BMl5BanBnXkFtZTgwNTAwNzk3MjE@._V1_SX300.jpg"|"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear"|"UK, USA"|"English, German"|"114 min"|2014
"34"|"Raising Arizona"|"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintupelets, their lives get more complicated than they anticipated."|"Comedy, Crime, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTg0NjYzOTUzNF5BMl5BanBnXkFtZTcwODkyMDMyMQ@@._V1_SX300.jpg"|"Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman"|"USA"|"English"|"94 min"|1987
"35"|"Spider-Man"|"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."|"Action, Adventure, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMzk3MTE5MDU5NV5BMl5BanBnXkFtZTYwMjY3NTY3._V1_SX300.jpg"|"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco"|"USA"|"English"|"121 min"|2002
"36"|"How to Lose a Guy in 10 Days"|"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the \"How To\" beat for \"Composure\" magazine and is assigned to write an article on \"How to Lose a Guy in 10 days.\" They meet in a bar shortly after the bet is made."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_SX300.jpg"|"Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse"|"USA, Germany"|"English"|"116 min"|2003
"37"|"You've Got Mail"|"Two business rivals who hate each other in the office fall in love over the Internet."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTg0ODM2NDc5MF5BMl5BanBnXkFtZTgwODM2Mzk5MDE@._V1_SX300.jpg"|"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey"|"USA"|"English"|"119 min"|1998
"38"|"Die Hard With a Vengeance"|"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."|"Action, Adventure, Thriller"|"http://ia.media-imdb.com/images/M/MV5BOTgyNDM4Mjg0OF5BMl5BanBnXkFtZTcwMjQxNTEzMQ@@._V1_SX300.jpg"|"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"|"USA"|"English, German, Romanian"|"128 min"|1995
"39"|"Bend It Like Beckham"|"The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team (soccer in America)."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTg1Njk5NjczM15BMl5BanBnXkFtZTYwNjc2NTQ3._V1_SX300.jpg"|"Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher"|"UK, Germany, USA"|"English, Panjabi, Hindi, German"|"112 min"|2002
"40"|"Austin Powers: The Spy Who Shagged Me"|"Dr. Evil is back...and has invented a new time machine that allows him to go back to the 60's and steal Austin Powers's mojo, inadvertently leaving him \"shagless\"."|"Action, Adventure, Comedy"|"http://ia.media-imdb.com/images/M/MV5BMjEwMDk0MzgxNV5BMl5BanBnXkFtZTYwNjMzMDc3._V1_SX300.jpg"|"Mike Myers, Heather Graham, Michael York, Robert Wagner"|"USA"|"English, German"|"95 min"|1999
"41"|"The Sweetest Thing"|"A girl finds she is forced to educate herself on the etiquette of wooing the opposite sex when she finally meets Mr. Right."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTMzNDA1MzIyNl5BMl5BanBnXkFtZTcwOTQxMTAzMQ@@._V1_SX300.jpg"|"Lillian Adams, Herbert W. Ankrom, Bryan Anthony, Christina Applegate"|"USA"|"English"|"88 min"|2002
"42"|"Rivers and Tides"|"Portrait of Andy Goldsworthy, an artist whose specialty is ephemeral sculptures made from elements of nature."|"Documentary"|"http://ia.media-imdb.com/images/M/MV5BMTA2NjM3OTc2MDBeQTJeQWpwZ15BbWU3MDA1NjQxNjE@._V1_SX300.jpg"|"Andy Goldsworthy"|"Germany, Finland, UK, Canada"|"English"|"90 min"|2001
"43"|"Dead Poets Society"|"English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMzA5MTE0NTUwOV5BMl5BanBnXkFtZTgwOTgyMDUxMDE@._V1_SX300.jpg"|"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"|"USA"|"English"|"128 min"|1989
"44"|"Notting Hill"|"The life of a simple bookshop owner changes when he meets the most famous film star in the world."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTQ4MDg5MTE1N15BMl5BanBnXkFtZTgwNDA4NjQxMTE@._V1_SX300.jpg"|"Julia Roberts, Hugh Grant, Richard McCabe, Rhys Ifans"|"UK, USA"|"English, Spanish"|"124 min"|1999
"45"|"Dangerous Liaisons"|"A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman."|"Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTk5Mjk1MjEzOV5BMl5BanBnXkFtZTcwNzYzNDkxMQ@@._V1_SX300.jpg"|"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz"|"USA, UK"|"English"|"119 min"|1988
"46"|"Sweet Home Alabama"|"A young woman who's reinvented herself as a New York socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjEwMjIwMDQ4OV5BMl5BanBnXkFtZTYwNzc3OTY3._V1_SX300.jpg"|"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen"|"USA"|"English"|"108 min"|2002
"47"|"Real Women Have Curves"|"This is the story of Ana, a first generation Mexican-American teenager on the verge of becoming a woman. She lives in the predominately Latino community of East Los Angeles. Freshly ..."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTY3OTY3OTAxNF5BMl5BanBnXkFtZTYwMjAwMTg5._V1_SX300.jpg"|"America Ferrera, Lupe Ontiveros, Ingrid Oliu, George Lopez"|"USA"|"English, Spanish"|"90 min"|2002
"48"|"Big"|"\"The Dude\" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."|"Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_SX300.jpg"|"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"|"USA, UK"|"English, German, Hebrew, Spanish"|"117 min"|1998
"49"|"Amadeus"|"The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum."|"Biography, Drama, History"|"http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg"|"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"|"USA, France"|"English, Italian, Latin, German"|"160 min"|1984
"50"|"Citizen Ruth"|"An irresponsible, drug-addicted, recently impregnated woman finds herself in the middle of an abortion debate when both parties attempt to sway her to their respective sides."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTMyNTEzMTU3MV5BMl5BanBnXkFtZTYwMDgwMzM5._V1_SX300.jpg"|"Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place"|"USA"|"English"|"106 min"|1996
"51"|"Blue Crush"|"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player."|"Drama, Romance, Sport"|"http://ia.media-imdb.com/images/M/MV5BMTY0NDU0ODIzNl5BMl5BanBnXkFtZTYwMDgxMzg5._V1_SX300.jpg"|"Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake"|"USA, Germany"|"English"|"104 min"|2002
"52"|"Life as a House"|"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BMTcxMDQ0ODU0OV5BMl5BanBnXkFtZTYwMDcyODU3._V1_SX300.jpg"|"Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone"|"USA"|"English"|"125 min"|2001
"53"|"The Graduate"|"A disillusioned college graduate finds himself torn between his older lover and her daughter."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@._V1_SX300.jpg"|"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels"|"USA"|"English"|"106 min"|1967
"54"|"One Night at McCool's"|"Every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night."|"Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMTU4MjkwNDAzNl5BMl5BanBnXkFtZTcwOTAxMzcxMQ@@._V1_SX300.jpg"|"Matt Dillon, Mary Jo Smith, Michael Douglas, Paul Reiser"|"USA"|"English, Spanish"|"93 min"|2001
"55"|"13 Going on 30"|"A 13 year old girl plays a game on her 13th birthday and wakes up the next day as a 30 year old woman."|"Comedy, Fantasy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1_SX300.jpg"|"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis"|"USA"|"Portuguese, English"|"98 min"|2004
"56"|"Return to Me"|"A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjIwNDEzODU3Nl5BMl5BanBnXkFtZTcwMjI0NzU2NA@@._V1_SX300.jpg"|"David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia"|"USA"|"English, Italian"|"115 min"|2000
"57"|"Vertigo"|"A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."|"Mystery, Romance, Thriller"|"http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1_SX300.jpg"|"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"|"USA"|"English"|"128 min"|1958
"58"|"Laws of Attraction"|"Amidst a sea of litigation, two New York City divorce lawyers find love."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjEzODg4MjM1NF5BMl5BanBnXkFtZTYwNzQzNTI3._V1_SX300.jpg"|"Pierce Brosnan, Julianne Moore, Michael Sheen, Parker Posey"|"Ireland, UK, Germany"|"English"|"90 min"|2004
"59"|"Winged Migration"|"Documentary on the migratory patterns of birds, shot over the course of three years on all seven continents."|"Documentary"|"http://ia.media-imdb.com/images/M/MV5BMTkwOTg5MTI5N15BMl5BanBnXkFtZTYwNTQ3Njk5._V1_SX300.jpg"|"Philippe Labro, Jacques Perrin"|"France, Italy, Germany, Spain, Switzerland"|"French, English"|"89 min"|2001
"60"|"Dirty Harry"|"When a mad man calling himself 'the Scorpio Killer' menaces the city, tough as nails San Francisco Police Inspector Harry Callahan is assigned to track down and ferret out the crazed psychopath."|"Action, Crime, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTg3MDQ4Njg5MV5BMl5BanBnXkFtZTgwMTU2OTM5NDE@._V1._CR96,139,852,1256_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg"|"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon"|"USA"|"English"|"102 min"|1971
"61"|"Defending Your Life"|"In an afterlife way station resembling a block of hotels, the lives of the recently-deceased are examined in a court-like setting."|"Comedy, Drama, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMjEzNDQ4MDE5Nl5BMl5BanBnXkFtZTYwOTcyMDc5._V1_SX300.jpg"|"Albert Brooks, Michael Durrell, James Eckhouse, Gary Beach"|"USA"|"English, Japanese"|"112 min"|1991
"62"|"Sweet and Lowdown"|"In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman."|"Comedy, Drama, Music"|"http://ia.media-imdb.com/images/M/MV5BMjE2MzA5MDQ4NV5BMl5BanBnXkFtZTgwNjI4ODQxMDE@._V1_SX300.jpg"|"Woody Allen, Ben Duncan, Daniel Okrent, Dan Moran"|"USA"|"English"|"95 min"|1999
"63"|"Titanic"|"A seventeen-year-old aristocrat falls in love with a kind, but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."|"Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjExNzM0NDM0N15BMl5BanBnXkFtZTcwMzkxOTUwNw@@._V1_SX300.jpg"|"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"|"USA"|"English"|"194 min"|1997
"64"|"Bandits"|"Two bank robbers fall in love with the girl they've kidnapped."|"Comedy, Crime, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTkyMzA3OTI3NV5BMl5BanBnXkFtZTYwMjU0ODM3._V1_SX300.jpg"|"Bruce Willis, Billy Bob Thornton, Cate Blanchett, Troy Garity"|"USA"|"English"|"123 min"|2001
"65"|"Meet the Parents"|"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTc2NzYyMjc5NV5BMl5BanBnXkFtZTgwOTEwODMxMDE@._V1_SX300.jpg"|"Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner"|"USA"|"English, Thai, French, Hebrew, Spanish"|"108 min"|2000
